kode_buku,judul_buku,pengarang,genre
0590876120,The Littles and Their Amazing New Friend,John Peterson,Juvenile Fiction
0590956167,The Meanest Thing to Say,Bill Cosby;Varnette P. Honeywood,Juvenile Fiction
0590975005,The BFG,Roald Dahl,Dreams
0590988492,Wanted!,Caroline B. Cooney,Juvenile Fiction
0593040597,The Illustrated A Brief History of Time,Stephen W. Hawking,Cosmology
0593043162,A Brief History of Time,Stephen Hawking,Cosmology
0595092144,Firedrake,Richard A. Knaak,Fiction
0595272096,Vesco from Wall Street to Castro's Cuba,Arthur Herzog,BIOGRAPHY & AUTOBIOGRAPHY
0595321801,The Changeling,Zilpha Keatley Snyder,Juvenile Fiction
0596003064,High performance MySQL,Jeremy D. Zawodny;Derek J. Balling,Computers
0596006624,Hackers & Painters,Paul Graham,Computers
0596006799,BSD Hacks,Dru Lavigne,Computers
0596006934,IMovie 4 & IDVD,David Pogue,Computers
0596523696,Ruby Cookbook,Lucas Carlson;Leonard Richardson,Computers
059652708X,MySQL Cookbook,Paul DuBois,Computers
0596527411,CSS Cookbook,Christopher Schmitt,Computers
0600601161,The New Hite Report,Shere Hite,Sexual behavior surveys
0606349154,One Hundred Years of Solitude,Gabriel Garcia Marquez;Gregory Rabassa,Fiction
0609602195,The Barefoot Contessa Cookbook,Ina Garten,Cooking
0609610570,Execution,Larry Bossidy;Ram Charan;Charles Burck,Business & Economics
0609801406,Full House,Stephen Jay Gould,Science
0609804243,Awakening Intuition,Mona Lisa Schulz,Health & Fitness
0609808346,Dispatches from the Tenth Circle,Robert Siegel,Humor
0613013379,Theater Shoes,Noel Streatfeild,Juvenile Fiction
0613371658,The Princess Diaries,Meg Cabot,Juvenile Fiction
0613926552,Laura Ingalls Wilder Country,William Anderson;William T Anderson, Ed.,History
0613996984,East of Eden,John Steinbeck,Fiction
0618002235,The Two Towers,John Ronald Reuel Tolkien,Fiction
0618009361,Farmer Giles of Ham,John Ronald Reuel Tolkien,Fiction
0618042202,The ring sets out,John Ronald Reuel Tolkien,Baggins, Frodo (Fictitious character)
0618056734,Unweaving the Rainbow,Richard Dawkins,Science
0618056807,Baumgartner's Bombay,Anita Desai,Fiction
0618056815,The 42nd Parallel,John Dos Passos,Fiction
0618056823,Nineteen Nineteen,John Dos Passos,Fiction
0618056831,The Big Money,John Dos Passos,Fiction
0618056998,The Letters of J.R.R. Tolkien,John Ronald Reuel Tolkien,Biography & Autobiography
0618057021,J.R.R. Tolkien,Humphrey Carpenter,Biography & Autobiography
0618057072,The Origin of Consciousness in the Breakdown of the Bicameral Mind,Julian Jaynes,Philosophy
0618074511,Clear Light of Day,Anita Desai,Fiction
0618083553,The History of the Lord of the Rings,John Ronald Reuel Tolkien;Christopher Tolkien,Fiction
061808357X,The Return of the Shadow,John Ronald Reuel Tolkien;Christopher Tolkien,Fiction
0618083618,J.R.R. Tolkien,Wayne G. Hammond;Christina Scull,Art
0618084746,The Heart is a Lonely Hunter,Carson McCullers,Fiction
0618111204,Once a Wolf,Stephen R. Swinburne;Jim Brandenburg,Juvenile Nonfiction
061812733X,Stern Men,Elizabeth Gilbert,Fiction
0618127364,Colter,Rick Bass,Biography & Autobiography
0618131701,Chimera,John Barth,Fiction
0618134301,Henry Adams and the Making of America,Garry Wills;Pulitzer Prize-Winning Journalist and Historian Garry Wills,Biography & Autobiography
0618134328,Nixon Agonistes,Garry Wills,Biography & Autobiography
0618153977,The Lord of the Rings,J. R. R. Tolkien,Fiction
0618181903,Hear the Wind Blow,Mary Downing Hahn,Juvenile Fiction
0618196250,Midnight is a Place,Joan Aiken,Juvenile Fiction
0618249060,Silent Spring,Rachel Carson,Nature
0618251324,The Best American Sports Writing 2003,Glenn Stout;Buzz Bissinger,Sports & Recreation
0618251456,Two of Us,Peter Smith,Biography & Autobiography
0618254110,Queen of Scots,John Alexander Guy,History
0618257764,Inventing America,Garry Wills,History
0618258027,The Lord of the Rings,Jude Fisher,Fiction
0618260226,The Lord of the Rings,Brian Sibley,Performing Arts
0618260307,The Hobbit, Or, There and Back Again,John Ronald Reuel Tolkien,Juvenile Fiction
0618260587,The Lord of the Rings,John Ronald Reuel Tolkien,Fiction
0618329676,The Best American Mystery Stories 2004,Nelson DeMille;Otto Penzler,Fiction
0618339558,Fergus and the Night-Demon,Jim Murphy,Juvenile Fiction
0618346252,The Fellowship of the Ring,J. R. R. Tolkien,Fiction
0618380442,The Hermit's Story,Rick Bass,Fiction
0618391002,The Lord of the Rings,Chris Smith,Literary Criticism
0618391029,JRR Tolkien Companion & Guide,Christina Scull;Wayne G. Hammond,Literary Criticism
061839110X,The Maps of Tolkien's Middle-earth,Brian Sibley,Fiction
0618422536,Understanding the Lord of the Rings,Neil D. Isaacs;Rose A. Zimbardo,Literary Criticism
0618439099,Dunk,David Lubar,Juvenile Fiction
0618445579,The Bake Shop Ghost,Jacqueline K. Ogburn;Marjorie Priceman,Juvenile Fiction
0618446702,Reefer Madness,Eric Schlosser,Business & Economics
0618446710,The Last Shot,Darcy Frey,Sports & Recreation
0618446877,Dark Star Safari,Paul Theroux,Travel
0618470220,The Best American Sports Writing 2006,Glenn Stout;Michael Lewis,Sports & Recreation
0618471162,Since 1500, Chapters 15-30,Richard W. Bulliet,Science
061847790X,Trip to the North Pole,Ellen Weiss;Robert Zemeckis;William Broyles;Chris Van Allsburg,Fiction
0618477942,Fun Home,Alison Bechdel,Biography & Autobiography
0618479031,Natural Health, Natural Medicine,Andrew Weil,Health & Fitness
0618485228,The Namesake,Jhumpa Lahiri,Fiction
0618506918,Entre Amis,Michael Oates;Larbi Oukada,Foreign Language Study
0618510826,The Lord of the Rings Complete Visual Companion,Jude Fisher,Fiction
0618526412,The Heart is a Lonely Hunter,Carson McCullers,Fiction
0618554599,Firefighters in the Dark,Dashka Slater;Nicoletta Ceccoli,Juvenile Fiction
0618574816,Tolkien And The Great War,John Garth,Biography & Autobiography
0618574956,The Two Towers,John Ronald Reuel Tolkien,Fiction
0618574972,The Lord of the Rings: The return of the king,John Ronald Reuel Tolkien,Fantasy fiction
0618582150,The Best American Travel Writing 2006,Tim Cahill;Jason Wilson,Travel
0618586458,The Best American Spiritual Writing 2006,Philip Zaleski,Literary Collections
061861169X,The Polar Express,Chris Van Allsburg,Juvenile Fiction
0618615385,Mcdougal Littell Science,James Trefil;Houghton Mifflin Company;Rita Ann Calvo;Kenneth Cutler,Juvenile Nonfiction
0618619070,Bury the Chains,Adam Hochschild,History
061861916X,The Ancestor's Tale,Richard Dawkins;Yan Wong,Science
0618640142,The Lord of the Rings Sketchbook,Alan Lee,Art
0618685502,Gossamer,Lois Lowry,Juvenile Fiction
061870986X,In the Lake of the Woods,Tim O'Brien,Fiction
0618710310,Chew on this,Eric Schlosser;Charles Wilson,Juvenile Nonfiction
0618710507,The Diezmo,Rick Bass,Fiction
0618710531,Three Nights in August,H. G. Bissinger;Buzz Bissinger,Sports & Recreation
0618711651,Extremely Loud and Incredibly Close,Jonathan Safran Foer,Fiction
061871166X,The Hungry Tide,Amitav Ghosh,Fiction
0618711678,King Leopold's Ghost,Adam Hochschild,History
061877355X,The Chosen,Jerome Karabel,Education
0618894640,Children of Húrin,John Ronald Reuel Tolkien,Fiction
0631163026,The Ideology of the Aesthetic,Terry Eagleton,Literary Criticism
0631169407,On Certainty,Ludwig Wittgenstein,Philosophy
0631186271,Western Philosophy,John G. Cottingham,Philosophy
0631198199,Liberals and Communitarians,Stephen Mulhall;Adam Swift,Political Science
0631231277,Philosophical Investigations,Ludwig Wittgenstein,Philosophy
0634041126,Michael W. Smith,Michael W. Smith,Music
0635034700,The Mystery of the Ancient Pyramid (Cairo, Egypt),Carole Marsh,Juvenile Fiction
0664226108,The Gospel According to Tolkien,Ralph C. Wood,Literary Criticism
0664228917,That Godless Court?,Ronald Bruce Flowers,Religion
0664241581,Luther and Erasmus,Ernest Gordon Rupp;Philip Saville Watson,Religion
0670032565,The New Spirit,Havelock Ellis,
0670034665,Self-made Man,Norah Vincent,Social Science
0670034800,Swapping Lives,Jane Green,Fiction
067003665X,The Roald Dahl Treasury,Roald Dahl,Juvenile Fiction
0670037605,Mayflower,Nathaniel Philbrick,History
067003777X,Special Topics in Calamity Physics,Marisha Pessl,Fiction
0670037788,Helen of Troy,Margaret George,Fiction
0670037869,Dust,Martha Grimes,Fiction
0670038385,The Mistress's Daughter,A. M. Homes,Biography & Autobiography
0670044369,Vinyl Cafe Diaries,Stuart McLean,Canada
0670261556,Death of a Salesman,Arthur Miller,Fiction
0670820555,Spycatcher,Peter Wright,Espionage
0670876127,The Adventures of Pippi Longstocking,Astrid Lindgren;Michael Chesworth,Juvenile Fiction
0670886580,Haroun and the Sea of Stories,Salman Rushdie,Fiction
0670910619,Matthew Flinders' Cat,Bryce Courtenay,Alcoholics
0670913529,Artemis Fowl,Eoin Colfer,Children's stories
0670915416,In the Shadow of No Towers,Art Spiegelman,Graphic novels
0671000748,Echo Platoon,Richard Marcinko;John Weisman,Fiction
0671001957,Pieces,Stephen Chbosky,Fiction
067100347X,The Law of Enclosures,Dale Peck,Fiction
0671004549,You Belong To Me,Mary Higgins Clark,Fiction
0671007637,Runaways,V.C. Andrews,Fiction
0671009443,Private Parts,Howard Stern;John D. Simons,Biography & Autobiography
0671014919,My Gal Sunday,Mary Higgins Clark,Fiction
0671015206,The Millionaire Next Door,Thomas J. Stanley;William D. Danko,Biography & Autobiography
0671019090,The Tenth Man,Graham Greene,Fiction
067102082X,The Gun Seller,Hugh Laurie,Fiction
0671021001,She's Come Undone,Wally Lamb,Fiction
0671024183,Morgan's Run,Colleen McCullough,Fiction
0671024205,The October Horse,Colleen McCullough,Fiction
067102423X,Bag of Bones,Stephen King,Fiction
0671024817,Wither,J G Passarella,Fiction
0671025708,The Last Dance,Ed McBain,Fiction
0671026011,The Empty Chair,Jeffery Deaver,Fiction
0671026224,Clive Cussler and Dirk Pitt Revealed,Clive Cussler;Craig Dirgo,Fiction
0671027123,All Through the Night,Mary Higgins Clark,Fiction
0671027638,The Fuck Up,Arthur Nersesian,Fiction
0671035975,How to Stop Worrying and Start Living,Dale Carnegie,Psychology
0671036351,Present Tense,L. A. Graf,Fiction
0671039725,Carrie,Stephen King,Fiction
0671039741,Salem's Lot,Stephen King,Fiction
0671039946,Ice,V. C. Andrews,Fiction
0671040847,The Living Blood,Tananarive Due,Fiction
067104155X,Diablo: Legacy of Blood,Richard A. Knaak,Fiction
0671042858,The Girl Who Loved Tom Gordon,Stephen King,Fiction
0671047647,Venice: Lion City,Garry Wills,History
067121148X,Uncle Shelby'S Abz Book,Shel Silverstein,Education
0671417010,Confessions of an Actor,Laurence Oliver,Performing Arts
0671440691,Soldier, general of the army, president-elect, 1890-1952,Stephen E. Ambrose,Biography & Autobiography
0671447203,The Bluest Eye,Toni Morrison,African Americans
0671447548,Mornings on Horseback,David McCullough,Biography & Autobiography
0671455273,Sweet and Low,Emma Lathen,Fiction
0671475029,The Canterbury Tales of Geoffrey Chaucer,Simon & Schuster, Limited,Poetry
0671519166,Guilty as Charged,Scott Turow,Fiction
0671519182,The Night Awakens,Mary Higgins Clark,Fiction
0671519980,The Leader In You,Dale Carnegie,Self-Help
0671524097,Sharp Edges,Jayne Ann Krentz,Fiction
067155302X,Harvest,Tess Gerritsen,Fiction
0671553046,Life Support,Tess Gerritsen,Fiction
0671559346,Alien Stars,C. J. Cherryh;Haldeman, Joe W;Mitchell, Elizabeth;Zahn, Timothy,Fiction
0671569023,Orchid,Jayne Castle,Fiction
0671578634,The Man Who Sold The Moon,Robert A. Heinlein,Fiction
0671631985,Teach Your Child to Read in 100 Easy Lessons,Siegfried Engelmann;Phyllis Haddox;Elaine Bruner,Education
0671639617,Field Guide to Home Buying in America,Stephen M. Pollan;Mark Levine,Business & Economics
0671646192,Wind Child,Nancy Harding,Fiction
0671662341,Anne Frank Remembered,Miep Gies;Alison Leslie Gold,History
0671685635,Ghost Story,Peter Straub,Fiction
0671695185,Blue World,Robert R. McCammon,Fiction
0671704648,Cyclops,Clive Cussler,Fiction
0671708635,The Seven Habits of Highly Effective People,Stephen R. Covey,Business & Economics
0671722077,A Cast of Corbies,Josepha Sherman;Mercedes Lackey,Fiction
0671722875,Shakespeare's Sonnets,Helen Hunt;William Shakespeare,Drama
0671727796,The Color Purple,Alice Walker,Fiction
0671728202,Night of the Fox,Jack Higgins,Fiction
0671731424,Wolf's Hour,Robert McCammon,Fiction
0671732463,Journey To Ixtlan,Carlos Castaneda,Body, Mind & Spirit
0671732471,Second Ring of Power,Carlos Castaneda,Fiction
067173248X,Power of Silence,Carlos Castaneda,Fiction
0671732501,Fire from Within,Carlos Castaneda,Body, Mind & Spirit
0671732528,Tales of Power,Carlos Castaneda,Fiction
0671737767,STINGER,Robert McCammon,Fiction
0671739166,The Story of Philosophy,Will Durant,Biography & Autobiography
0671741039,Swan Song,Robert McCammon,Fiction
0671742515,Long Dark Tea-Time of the Soul,Douglas Adams,Fiction
0671743058,Boy's Life,Robert McCammon,Fiction
0671763792,Joy Within,Joan Goldstein;Manuela Soares,Body, Mind & Spirit
067176991X,Mystery Walk,Robert R. McCammon,Fiction
0671771302,Justine,Lawrence Durrell,
0671771620,The Hidden Persuaders,Vance Packard,Advertising
0671774670,Best Stories,Hugh Garner,
0671792806,Principle Centered Leadership,Stephen R. Covey,Business & Economics
067179356X,In the Name of Love,Ann Rule,Literary Criticism
067179566X,Star Trek: The Next Generation: Nightshade,Laurell K. Hamilton,Fiction
0671797867,Scar Lover,Harry Crews,Fiction
0671820125,End zone,Don DeLillo,Fiction
0671823493,The Good Earth,Pearl Sydenstricker Buck,China
0671854054,Star Trek,Alan Dean Foster,
0671867423,Lincoln at Gettysburg,Garry Wills,History
0671876996,Forever After,Roger Zelazny,Fiction
0671877666,The Ship Avenged,S. M. Stirling,Fiction
067187778X,The Free Bards,Lackey,Fiction
0671878840,Berserkers,Fred Saberhagen,Fiction
0671882368,What Jane Austen Ate and Charles Dickens Knew,Daniel Pool,Education
0671887173,Daily Reflections for Highly Effective People,Stephen R. Covey,Business & Economics
0674002059,Seamus Heaney,Helen Hennessy Vendler,Literary Criticism
0674006720,American Tragedy,David E. Kaiser,History
0674008200,This Craft of Verse,Jorge Luis Borges;Calin Andrei Mihailescu,Literary Criticism
067401829X,The Gardens of Emily Dickinson,Judith FARR;Louise Carter,Architecture
0674022572,Rebecca's Revival,Jon F Sensbach,Biography & Autobiography
0674022874,The Writer of Modern Life,Walter Benjamin,Literary Criticism
0674023854,Iron Kingdom,Christopher M. Clark;University Christopher Clark, MD,History
0674035011,Ancilla to the Pre-Socratic Philosophers,Mary Fitt;Kathleen Freeman,Philosophy
0674215184,Doubling the Point,Professor of General Literature J M Coetzee;J. M. Coetzee,Literary Criticism
067426858X,Ethics and the Limits of Philosophy,Bernard Williams,Philosophy
0674268636,The Ethics of Authenticity,Charles Taylor,Philosophy
067429503X,The Fate of Reason,Frederick C. Beiser,Philosophy
0674618769,New Worlds, Ancient Texts,Anthony Grafton;Nancy G. Siraisi;April Shelford,History
0674637127,The Art of Shakespeare's Sonnets,Helen Vendler,Literary Criticism
0674644840,Origins of the Modern Mind,Merlin Donald,Medical
0674673778,Playing in the Dark,Toni Morrison,Literary Criticism
0674705599,The Principles of Psychology,William James,Psychology
0674777700,The Roman Empire,Colin Michael Wells,History
0674802802,Sex and Reason,Richard A. POSNER,Law
0674821068,Sor Juana, Or, The Traps of Faith,Octavio Paz,Literary Criticism
0674824261,Sources of the Self,Charles Taylor,Philosophy
0674854292,Summer for the Gods,,Law
0674891996,Time's Arrow, Time's Cycle,Stephen Jay Gould,Science
0674940520,The Visible Hand,Alfred D. Chandler Jr.,Business & Economics
0674954017,Wittgenstein on Rules and Private Language,Saul A. Kripke,Philosophy
0674961870,The World, the Text, and the Critic,Edward W. Said,Literary Criticism
0674990331,De officiis,Marcus Tullius Cicero;Walter Miller,Fiction
0674990463,Metamorphoses,Publius Ovidius Naso (Dichter),Mythology, Classical
0674990471,Metamorphoses,Ovid,Science
0674991842,Plato in twelve volumes,Plato,Literary Criticism
0674991877,History of the Peloponnesian War,Thucydides,History
0674992024,Hiero,Xenophon,Electronic books
0674992180,Cicero in Twenty-eight Volumes,Marcus Tullius Cicero,Consuls, Roman
0674992407,Epictetus,Epictetus,Philosophy
0674992555,The Art of Love, and Other Poems,Ovid,Love poetry
0674992628,Plato, with an English Translation,Plato,Philosophy, Ancient
0674994809,Babrius and Phaedrus,Babrius;Phaedrus;Ben Edwin Perry,Biography & Autobiography
067499566X,Αλκηστισ,Euripides,Alcestis (Greek mythology)
0674995740,Fragmenta,Plutarcus;Ευριπιδες,Literary Criticism
0674996232,Hesiod,Hesiodtus,Agriculture
0676977111,Never Let Me Go,Kazuo Ishiguro,Boarding school-fiction
0679406832,Gift from the Sea,,Biography & Autobiography
0679409963,Doctor Faustus,Thomas Mann,Fiction
0679411674,Toni Morrison,Toni Morrison,African Americans
0679413359,The Aeneid,Virgil,Poetry
0679420258,If on a Winter's Night a Traveler,Italo Calvino;William Weaver,Fiction
0679420266,The Stranger,Albert Camus;Matthew Ward,Fiction
0679420290,Crime and Punishment,Fyodor Dostoyevsky,Fiction
0679424784,Selected Short Stories of William Faulkner,William Faulkner,Fiction
067942895X,The Complete Collected Poems of Maya Angelou,Maya Angelou,Poetry
0679431365,The Sword of Honour Trilogy,Evelyn Waugh,Fiction
0679431373,Gargantua and Pantagruel,François Rabelais,Fiction
0679434046,In the Kitchen with Rosie,Rosie Daley,Cooking
0679444599,Rabbit Angstrom,John Updike,Fiction
0679446087,A fine balance,Rohinton Mistry,Fiction
0679451218,The Sibley Field Guide to Birds of Western North America,,Nature
0679600051,Swann's Way,Marcel Proust,Fiction
0679600175,The Sound and the Fury,William Faulkner,Fiction
0679601120,Stars in Their Courses,Shelby Foote,History
0679601325,The Poetry and Short Stories of Dorothy Parker,Dorothy Parker,Poetry
0679602984,Fear and Loathing in Las Vegas and Other American Stories,Hunter S. Thompson,Biography & Autobiography
0679641041,Blood Meridian, Or, The Evening Redness in the West,Cormac McCarthy,Fiction
0679641815,In Search of Lost Time, Volume IV,Marcel Proust,Fiction
0679642846,The Red and the Black,Stendhal,Fiction
0679643249,The Killer Angels,Michael Shaara,Fiction
0679643257,The Collected Autobiographies of Maya Angelou,Maya Angelou,Biography & Autobiography
0679643427,The Murders in the Rue Morgue,Edgar Allan Poe,Fiction
0679643524,Darkness Visible,William Styron,Biography & Autobiography
0679720227,The Fall,Albert Camus,Fiction
0679721037,Hiroshima,John Hersey,History
0679721819,Mama Day,Gloria Naylor,Fiction
0679722319,Where I'm Calling from,Raymond Carver,Fiction
0679722947,Running Dog,Don DeLillo,Fiction
0679722955,The Names,Don DeLillo,Fiction
0679723056,What We Talk about when We Talk about Love,Raymond Carver,Fiction
0679723129,Gideon's Trumpet,Anthony Lewis,History
0679723137,Invisible Man,Ralph Ellison,African American men
0679723161,Lolita,Vladimir Vladimirovich Nabokov,Fiction
0679723692,Cathedral,Raymond Carver,Fiction
0679724699,The History of Sexuality,Michel Foucault,Sex customs
067972477X,I, Claudius,Robert Graves,Fiction
0679725164,No Exit, and Three Other Plays,Jean-Paul Sartre,Drama
0679725229,Ada, Or, Ardor, a Family Chronicle,Vladimir Vladimirovich Nabokov,Fiction
0679725407,Aké,Wole Soyinka,Biography & Autobiography
0679726098,Strong Opinions,Vladimir Vladimirovich Nabokov,Literary Collections
0679726209,Mary,Владимир Владимирович Набоков,Fiction
0679726489,The Complete Monty Python's Flying Circus,Graham Chapman;Monty Python (Comedy troupe);Terry Gilliam;Eric Idle;Terry Jones,Humor
0679727221,The Defense,Vladimir Vladimirovich Nabokov;Michael Scammell,Fiction
067972723X,The Eye,Владимир Владимирович Набоков,Fiction
0679727299,The Annotated Lolita,Владимир Владимирович Набоков;Vladimir Vladimirovich Nabokov,Fiction
0679729771,Maus II,Art Spiegelman,Biography & Autobiography
0679729917,The Best of Roald Dahl,Roald Dahl,Fiction
0679729976,The Stories of Vladimir Nabokov,Vladimir Vladimirovich Nabokov,Fiction
0679730613,Hit Men,Fredric Dannen,Business & Economics
0679731148,A Year in Provence,Peter Mayle,Provence (France)
0679731180,The Origin of Satan,Elaine Pagels,Religion
0679731377,A History of the World in 10 1/2 Chapters,Julian Barnes,Fiction
0679732179,Go Down, Moses,William Faulkner,Fiction
0679732268,Light in August,William Faulkner,Fiction
0679732349,Chilly Scenes of Winter,Ann Beattie,Fiction
0679732543,Shoot the Piano Player,David Goodis,Fiction
0679732713,The Beggar Maid,Alice Munro,Fiction
0679733760,A Midwife's Tale,Laurel Ulrich,Biography & Autobiography
0679733787,The Woman in the Dunes,Kōbō Abe,Fiction
0679733841,The Rebel,Albert Camus,Philosophy
0679734031,The Art of Fiction,John Gardner,Language Arts & Disciplines
0679734481,Success,Martin Amis,Fiction
067973449X,Dead Babies,Martin Amis,Fiction
0679734503,Crime and Punishment,Fyodor Dostoyevsky,Fiction
0679734783,Hype and Glory,William Goldman,Performing Arts
0679734996,The Heidi Chronicles and Other Plays,Wendy Wasserstein,Drama
0679735259,Dispatches,Michael Herr,History
067973547X,Touching the Rock,John M. Hull,Biography & Autobiography
0679735771,American Psycho,Bret Easton Ellis,Fiction
0679735879,The Unconsoled,Kazuo Ishiguro,Fiction
0679736409,Last Tales: The cardinal's first tale ; The cloak ; Night walk ; Of hidden thoughts and of heaven ; Tales of two old gentlemen ; The cardinal's third tale ; The blank page ; New Gothic Tales: The cyratids, an unfinished tale ; Echoes ; New Winter's tales: A country tale ; Copenhagen season ; Converse at night in Copenhagen,Karen Blixen,
0679736530,The Hamlet,William Faulkner,Fiction
0679736859,Athena,John Banville,Fiction
0679736883,The Radicalism of the American Revolution,Gordon S. Wood,History
0679737111,Mortals,Norman Rush,Fiction
0679737316,Selected Speeches and Writings,Abraham Lincoln,History
0679742581,Caramelo, Or, Puro Cuento,Sandra Cisneros,Fiction
0679744479,Written on the Body,Jeanette Winterson,Fiction
0679745394,After Henry,Joan Didion,Fiction
0679745572,The grass harp,Truman Capote,Fiction
0679745645,Other Voices, Other Rooms,Truman Capote,Fiction
0679748148,Sanctuary,William Faulkner,Fiction
0679749063,The Great American Novel,Philip Roth,Fiction
0679749845,The Comfort of Strangers,Ian McEwan,Fiction
067975377X,Asa, as I Knew Him,Susanna Kaysen,Fiction
0679755489,The Death of Virgil,Hermann Broch,Fiction
0679755527,The Son Avenger,Sigrid Undset,Fiction
0679756760,When I was Puerto Rican,Esmeralda Santiago,Biography & Autobiography
0679759255,When She was Good,Philip Roth,Fiction
0679760237,In Pharaoh's Army,Tobias Wolff,Biography & Autobiography
0679761047,Snow Country,Yasunari Kawabata,Fiction
0679761055,Beauty and Sadness,Yasunari Kawabata,Fiction
0679761780,Blues for Mister Charlie,James Baldwin,Drama
0679762094,Aman,Virginia Lee Barnes,Biography & Autobiography
0679762655,Thousand Cranes,川端康成,Fiction
0679762698,Encore Provence,Peter Mayle,Travel
0679762701,Art & Lies,Jeanette Winterson,Fiction
0679763430,The Camera My Mother Gave Me,Susanna Kaysen,Biography & Autobiography
067976397X,Corelli's Mandolin,Louis De Bernières,Fiction
0679764011,Resistance, Rebellion, and Death,Albert Camus,Fiction
0679764178,Letting Go,Philip Roth,Fiction
0679765840,The Simple Truth,Philip Levine,Poetry
0679767096,Walt Whitman's America,David S. Reynolds,Biography & Autobiography
0679767304,Selected Stories,Andre Dubus,Fiction
0679767398,South of the Border, West of the Sun,Haruki Murakami,Fiction
0679767479,The Untouchable,John Banville,Fiction
0679767827,Psycho Shop,Alfred Bester & Roger Zelazny,Fiction
0679772677,A civil action,Jonathan Harr,Law
0679776214,The Grotesque,Patrick McGrath,Fiction
0679776311,The Road to Reality,Roger Penrose,Science
0679776818,Birdsong,Sebastian Faulks,Fiction
067978117X,The Living and the Dead,Paul Hendrickson,History
067978148X,The Rules of Attraction,Bret Easton Ellis,Fiction
0679781498,Less Than Zero,Bret Easton Ellis,Fiction
0679783180,The Charterhouse of Parma,Stendhal,Fiction
0679783393,Basic Writings of Nietzsche,Friedrich Wilhelm Nietzsche,Philosophy
0679783482,Shalimar the Clown,Salman Rushdie,Fiction
067978361X,In the Land of White Death,Valerian Ivanovich Alʹbanov,Biography & Autobiography
0679785892,Fear and Loathing in Las Vegas,Hunter S. Thompson,Biography & Autobiography
0679801111,In the Hand of the Goddess,Tamora Pierce,Juvenile Fiction
0679832696,P.J. Funnybunny Camps Out,Marilyn Sadler,Juvenile Fiction
0679838864,Junie B. Jones and a Little Monkey Business,Barbara Park,Juvenile Fiction
0679847596,Ballet Shoes,Noel Streatfeild,Juvenile Fiction
0679853952,Dear God, Help!!! Love, Earl,Barbara Park,Juvenile Fiction
0679854347,Theater Shoes,Noel Streatfeild,Juvenile Fiction
0679867120,Daisy-head Mayzie,Dr. Seuss,Juvenile Fiction
0679882812,Dr. Seuss's ABC,Dr. Seuss,Juvenile Fiction
0679887431,The Berenstain Bears and the Blame Game,Stan Berenstain;Jan Berenstain,Juvenile Fiction
0679888098,The Little Butterfly,,Juvenile Nonfiction
0679889108,The Lorax,Dr. Seuss,Juvenile Fiction
0679889116,Three Tales of My Father's Dragon,,Juvenile Fiction
0679890521,The Trail of Tears,Joseph Bruchac;Diana Magnuson,Juvenile Nonfiction
067989070X,Earthquake in the Early Morning,Mary Pope Osborne,Juvenile Fiction
0679891110,The Cat in the Hat,Dr. Seuss,Juvenile Fiction
0681224770,Leaves of Grass,Walt Whitman,American poetry
0681403225,The More Than Complete Hitchhiker's Guide,Douglas Adams,Fiction
0684800284,Every Night Italian,Giuliano Hazan,Cooking
0684800705,The Metamorphosis, in the Penal Colony and Other Stories,Franz Kafka,Fiction
0684801523,The Great Gatsby,Francis Scott Fitzgerald,Computers
0684801531,A Life in Letters,F. Scott Fitzgerald,Biography & Autobiography
0684804425,The Pat Hobby Stories,F. Scott Fitzgerald,Fiction
068480445X,The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald,Fiction
0684804522,The Garden of Eden,Ernest Hemingway,Fiction
0684806371,American writers,Gale Group,Biography & Autobiography
0684809664,Janet, My Mother, and Me,William Murray,Biography & Autobiography
0684813211,Achilles in Vietnam,Jonathan Shay,Psychology
0684813637,John Adams,David McCullough,Biography & Autobiography
0684813785,The Making of the Atomic Bomb,Richard Rhodes,History
0684823780,Mere Christianity,C. S. Lewis,Religion
0684825007,Italians,Luigi Barzini,History
0684825104,The Promise of Rest,Reynolds Price,Fiction
0684826356,The Reawakening,Primo Levi,Biography & Autobiography
0684826801,Survival In Auschwitz,Primo Levi,Biography & Autobiography
0684829452,Three case histories,Sigmund Freud;Philip Rieff,Psychology
0684830515,The Sun Also Rises,Ernest Hemingway,Fiction
068483183X,Touched With Fire,Kay Redfield Jamison,Psychology
0684832402,The Denial of Death,Ernest Becker,Philosophy
0684837935,A Calendar of Wisdom,Leo Tolstoy,Religion
0684839741,Good as Gold,Joseph Heller,Fiction
0684839792,Tolkien,David Day,Fiction
0684841215,Something Happened,Joseph Heller,Fiction
0684841258,God Knows,Joseph Heller,Fiction
0684842238,On Death and Dying,Elisabeth Kübler-Ross,Family & Relationships
0684842505,The Short Stories of F. Scott Fitzgerald,F. Scott Fitzgerald;Matthew Joseph Bruccoli,Fiction
0684843129,Two Girls, Fat and Thin,Mary Gaitskill,Fiction
0684843323,The Complete Short Stories Of Ernest Hemingway,Ernest Hemingway,Fiction
0684844079,Soul of the Sword,Robert L. O'Connell,Technology & Engineering
0684844648,Across the River and Into the Trees,Ernest Hemingway,Fiction
0684845776,Unlimited Power,Tony Robbins,Self-Help
068484611X,Tearing the Silence,Ursula Hegi,Social Science
0684846314,The Wheel of Life,Elisabeth Kübler-Ross,Biography & Autobiography
